Carlton,g60713-d80925,carl2019731,2019-07-31T08:39:16.602619,70,242,4.0,3410
Vertigo,g60713-d81803,vertigo2019731,2019-07-31T08:41:17.834166,58,242,4.0,1732
Sir Francis Drake,g60713-d81377,sfd201981,2019-08-01T07:43:42.488104,135,242,3.5,3851
Grand Hyatt,g60713-d80999,ghyattus201981,2019-08-01T07:45:43.900435,57,242,4.0,5770
Marriott Union Square,g60713-d124765,marrus201981,2019-08-01T07:47:45.037706,,,4.0,
Hotel Nikko,g60713-d80793,nikko201981,2019-08-01T07:49:46.410638,,,4.0,
Spero,g60713-d80802,spero201981,2019-08-01T07:51:47.662878,46,242,4.0,448
Marker,g60713-d81985,marker201981,2019-08-01T07:53:48.828993,76,242,4.0,3570
Villa Florence,g60713-d81529,vilflo201981,2019-08-01T07:55:49.872915,,,3.5,
InterCon Mark Hopkins,g60713-d115623,markhop201981,2019-08-01T07:57:50.933909,63,242,4.0,2895
Buchanan,g60713-d80917,buch201981,2019-08-01T07:59:52.179645,33,242,4.5,962
Drisco,g60713-d80983,drisco201981,2019-08-01T08:01:53.430611,2,242,5.0,1659
Adagio,g60713-d279426,adagio201981,2019-08-01T08:03:54.709343,74,242,4.0,1799
Kabuki,g60713-d113923,kabuki201981,2019-08-01T08:05:56.082237,,,4.0,
Hotel Del Sol,g60713-d119643,delsol201981,2019-08-01T08:07:57.761315,,,4.0,
Laurel Inn,g60713-d81114,laurel201981,2019-08-01T08:09:59.066586,31,242,4.5,252
Westin St Francis,g60713-d81461,wesstfr201981,2019-08-01T08:12:00.244566,99,242,4.0,658
Zeppelin,g60713-d81215,zepp201981,2019-08-01T08:14:01.266364,83,242,4.0,909
Zetta,g60713-d112304,zetta201981,2019-08-01T08:16:02.298611,38,242,4.5,1220
Zelos,g60713-d80797,zelos201981,2019-08-01T08:18:03.571797,64,242,4.0,1334
Carlton,g60713-d80925,carl201981,2019-08-01T08:20:04.843329,69,242,4.0,3410
Vertigo,g60713-d81803,vertigo201981,2019-08-01T08:22:06.251880,,,4.0,
